Rep	Year	RepSeason	Species	IndID	Status	Natal_X	Natal_Y	X	Y	Sex	ProbViable	DistMoved
0	0	0	0	9966	0	2	100	2	100	0	0.938297	0
0	0	0	0	9978	0	2	100	2	100	0	0.932869	0
0	0	0	0	9950	0	2	100	2	100	1	0.947575	0
0	0	0	0	13681	5	1	97	2	100	1	0.946194	316.228
0	0	0	0	15091	5	4	103	2	100	0	0.956745	360.555
0	0	0	0	17168	5	6	97	2	100	1	0.943655	500
0	0	0	0	9986	0	19	141	19	141	0	0.940266	0
0	0	0	0	9984	0	19	141	19	141	0	0.946641	0
0	0	0	0	9988	0	19	141	19	141	1	0.941196	0
0	0	0	0	9989	0	19	141	19	141	0	0.942395	0
0	0	0	0	9985	0	19	141	19	141	0	0.942331	0
0	0	0	0	9987	0	19	141	19	141	1	0.943051	0
0	0	0	0	10003	0	2	84	2	84	0	0.937669	0
0	0	0	0	10000	0	2	84	2	84	1	0.933316	0
0	0	0	0	10011	0	2	84	2	84	1	0.947403	0
0	0	0	0	9998	0	2	84	2	84	0	0.940714	0
0	0	0	0	10005	0	2	84	2	84	0	0.940501	0
0	0	0	0	10008	0	2	84	2	84	1	0.942051	0
0	0	0	0	9995	0	2	84	2	84	1	0.948008	0
0	0	0	0	10007	0	2	84	2	84	0	0.941135	0
0	0	0	0	10012	0	2	84	2	84	0	0.937413	0
0	0	0	0	10004	0	2	84	2	84	1	0.952167	0
0	0	0	0	9999	0	2	84	2	84	0	0.935433	0
0	0	0	0	10009	0	2	84	2	84	0	0.939534	0
0	0	0	0	10002	0	2	84	2	84	0	0.934002	0
0	0	0	0	10014	0	2	84	2	84	1	0.934797	0
0	0	0	0	10010	0	2	84	2	84	0	0.942629	0
0	0	0	0	9993	0	2	84	2	84	0	0.945288	0
0	0	0	0	9996	0	2	84	2	84	1	0.946681	0
0	0	0	0	9997	0	2	84	2	84	0	0.941261	0
0	0	0	0	10013	0	2	84	2	84	1	0.929771	0
0	0	0	0	9991	0	2	84	2	84	1	0.944192	0
0	0	0	0	10001	0	2	84	2	84	1	0.93944	0
0	0	0	0	10025	0	11	119	11	119	0	0.928182	0
0	0	0	0	10022	0	11	119	11	119	0	0.938687	0
0	0	0	0	10019	0	11	119	11	119	0	0.945814	0
0	0	0	0	10020	0	11	119	11	119	1	0.934598	0
0	0	0	0	10027	0	11	119	11	119	0	0.942746	0
0	0	0	0	10030	0	11	119	11	119	0	0.938514	0
0	0	0	0	10017	0	11	119	11	119	0	0.939693	0
0	0	0	0	10028	0	11	119	11	119	1	0.934577	0
0	0	0	0	10015	0	11	119	11	119	0	0.935802	0
0	0	0	0	10026	0	11	119	11	119	1	0.935565	0
0	0	0	0	10021	0	11	119	11	119	1	0.942993	0
0	0	0	0	10031	0	11	119	11	119	1	0.927479	0
0	0	0	0	10024	0	11	119	11	119	1	0.942446	0
0	0	0	0	10023	0	11	119	11	119	1	0.931022	0
0	0	0	0	10032	0	11	119	11	119	0	0.932177	0
0	0	0	0	10016	0	11	119	11	119	0	0.929477	0
0	0	0	0	10018	0	11	119	11	119	0	0.943354	0
0	0	0	0	11792	4	11	120	11	119	1	0.938779	100
0	0	0	0	16279	5	13	117	11	119	0	0.933843	282.843
0	0	0	0	18612	5	6	118	11	119	0	0.946777	509.902
0	0	0	0	10046	0	4	72	4	72	1	0.941298	0
0	0	0	0	10043	0	4	72	4	72	1	0.940379	0
0	0	0	0	10054	0	4	72	4	72	1	0.941365	0
0	0	0	0	10040	0	4	72	4	72	1	0.944947	0
0	0	0	0	10048	0	4	72	4	72	0	0.946255	0
0	0	0	0	10051	0	4	72	4	72	0	0.939775	0
0	0	0	0	10036	0	4	72	4	72	0	0.95079	0
0	0	0	0	10049	0	4	72	4	72	0	0.937628	0
0	0	0	0	10055	0	4	72	4	72	1	0.9445	0
0	0	0	0	10047	0	4	72	4	72	1	0.937026	0
0	0	0	0	10041	0	4	72	4	72	1	0.942968	0
0	0	0	0	10052	0	4	72	4	72	0	0.948054	0
0	0	0	0	10045	0	4	72	4	72	0	0.936887	0
0	0	0	0	10044	0	4	72	4	72	1	0.940857	0
0	0	0	0	10053	0	4	72	4	72	0	0.948176	0
0	0	0	0	10035	0	4	72	4	72	0	0.945886	0
0	0	0	0	10038	0	4	72	4	72	1	0.933162	0
0	0	0	0	10039	0	4	72	4	72	0	0.944654	0
0	0	0	0	10034	0	4	72	4	72	1	0.944199	0
0	0	0	0	10636	5	3	71	4	72	1	0.946518	141.421
0	0	0	0	15385	5	3	73	4	72	1	0.931312	141.421
0	0	0	0	10070	0	0	102	0	102	0	0.945323	0
0	0	0	0	10066	0	0	102	0	102	1	0.936866	0
0	0	0	0	10078	0	0	102	0	102	0	0.946475	0
0	0	0	0	10085	0	0	102	0	102	0	0.941671	0
0	0	0	0	10072	0	0	102	0	102	0	0.946264	0
0	0	0	0	10087	0	0	102	0	102	0	0.94133	0
0	0	0	0	10059	0	0	102	0	102	0	0.945078	0
0	0	0	0	10073	0	0	102	0	102	1	0.940314	0
0	0	0	0	10080	0	0	102	0	102	0	0.936469	0
0	0	0	0	10089	0	0	102	0	102	0	0.947334	0
0	0	0	0	10064	0	0	102	0	102	1	0.943503	0
0	0	0	0	10076	0	0	102	0	102	1	0.939658	0
0	0	0	0	10069	0	0	102	0	102	0	0.948381	0
0	0	0	0	10083	0	0	102	0	102	0	0.94107	0
0	0	0	0	10077	0	0	102	0	102	1	0.94524	0
0	0	0	0	10057	0	0	102	0	102	1	0.950464	0
0	0	0	0	10060	0	0	102	0	102	0	0.937065	0
0	0	0	0	10061	0	0	102	0	102	0	0.938912	0
0	0	0	0	10081	0	0	102	0	102	0	0.940447	0
0	0	0	0	10090	0	0	102	0	102	0	0.941399	0
0	0	0	0	10067	0	0	102	0	102	1	0.940431	0
0	0	0	0	10088	0	0	102	0	102	0	0.940483	0
0	0	0	0	10082	0	0	102	0	102	0	0.94317	0
0	0	0	0	10063	0	0	102	0	102	1	0.948843	0
0	0	0	0	10074	0	0	102	0	102	0	0.935474	0
0	0	0	0	10084	0	0	102	0	102	1	0.949331	0
0	0	0	0	10071	0	0	102	0	102	0	0.935999	0
0	0	0	0	10056	0	0	102	0	102	1	0.937599	0
0	0	0	0	9975	4	2	100	0	102	0	0.934604	282.843
0	0	0	0	18360	5	0	104	0	102	0	0.934941	200
0	0	0	0	18382	4	0	104	0	102	1	0.949196	200
0	0	0	0	10093	0	8	138	8	138	0	0.940911	0
0	0	0	0	10091	0	8	138	8	138	0	0.94225	0
0	0	0	0	10095	0	8	138	8	138	0	0.947776	0
0	0	0	0	10094	0	8	138	8	138	1	0.9391	0
0	0	0	0	10092	0	8	138	8	138	1	0.941636	0
0	0	0	0	16264	4	6	139	8	138	0	0.942628	223.607
0	0	0	0	16828	4	8	141	8	138	1	0.93877	300
0	0	0	0	10107	0	1	136	1	136	1	0.938217	0
0	0	0	0	10103	0	1	136	1	136	0	0.937468	0
0	0	0	0	10100	0	1	136	1	136	0	0.941852	0
0	0	0	0	10101	0	1	136	1	136	1	0.944336	0
0	0	0	0	10110	0	1	136	1	136	0	0.937867	0
0	0	0	0	10099	0	1	136	1	136	0	0.935901	0
0	0	0	0	10098	0	1	136	1	136	0	0.929206	0
0	0	0	0	10111	0	1	136	1	136	1	0.941997	0
0	0	0	0	10096	0	1	136	1	136	1	0.94464	0
0	0	0	0	10108	0	1	136	1	136	1	0.941153	0
0	0	0	0	10102	0	1	136	1	136	1	0.948781	0
0	0	0	0	10097	0	1	136	1	136	0	0.944159	0
0	0	0	0	10106	0	1	136	1	136	0	0.940814	0
0	0	0	0	10105	0	1	136	1	136	0	0.943522	0
0	0	0	0	10124	0	12	84	12	84	0	0.948645	0
0	0	0	0	10121	0	12	84	12	84	1	0.943981	0
0	0	0	0	10134	0	12	84	12	84	1	0.942817	0
0	0	0	0	10144	0	12	84	12	84	0	0.946403	0
0	0	0	0	10127	0	12	84	12	84	1	0.947078	0
0	0	0	0	10145	0	12	84	12	84	1	0.936204	0
0	0	0	0	10114	0	12	84	12	84	0	0.938841	0
0	0	0	0	10128	0	12	84	12	84	1	0.945978	0
0	0	0	0	10135	0	12	84	12	84	1	0.942163	0
0	0	0	0	10147	0	12	84	12	84	0	0.941455	0
0	0	0	0	10120	0	12	84	12	84	1	0.932962	0
0	0	0	0	10132	0	12	84	12	84	1	0.943168	0
0	0	0	0	10123	0	12	84	12	84	0	0.93454	0
0	0	0	0	10138	0	12	84	12	84	0	0.939482	0
0	0	0	0	10133	0	12	84	12	84	1	0.93734	0
0	0	0	0	10113	0	12	84	12	84	1	0.929396	0
0	0	0	0	10115	0	12	84	12	84	0	0.945157	0
0	0	0	0	10116	0	12	84	12	84	1	0.94065	0
0	0	0	0	10136	0	12	84	12	84	1	0.947664	0
0	0	0	0	10112	0	12	84	12	84	0	0.935178	0
0	0	0	0	10122	0	12	84	12	84	0	0.940313	0
0	0	0	0	10146	0	12	84	12	84	0	0.933592	0
0	0	0	0	10137	0	12	84	12	84	0	0.947279	0
0	0	0	0	10118	0	12	84	12	84	0	0.941197	0
0	0	0	0	10130	0	12	84	12	84	0	0.937586	0
0	0	0	0	10142	0	12	84	12	84	1	0.943563	0
0	0	0	0	10125	0	12	84	12	84	0	0.944051	0
0	0	0	0	12584	5	12	81	12	84	0	0.944044	300
0	0	0	0	14792	5	11	86	12	84	0	0.940114	223.607
0	0	0	0	16445	5	11	81	12	84	1	0.940942	316.228
0	0	0	0	10161	0	6	123	6	123	1	0.943442	0
0	0	0	0	10157	0	6	123	6	123	0	0.937932	0
0	0	0	0	10153	0	6	123	6	123	1	0.935108	0
0	0	0	0	10154	0	6	123	6	123	1	0.938075	0
0	0	0	0	10163	0	6	123	6	123	1	0.943518	0
0	0	0	0	10152	0	6	123	6	123	1	0.942936	0
0	0	0	0	10151	0	6	123	6	123	0	0.939334	0
0	0	0	0	10159	0	6	123	6	123	0	0.938505	0
0	0	0	0	10149	0	6	123	6	123	1	0.935214	0
0	0	0	0	10162	0	6	123	6	123	0	0.934676	0
0	0	0	0	10156	0	6	123	6	123	1	0.9363	0
0	0	0	0	10150	0	6	123	6	123	1	0.943468	0
0	0	0	0	10160	0	6	123	6	123	1	0.945319	0
0	0	0	0	17211	5	5	125	6	123	0	0.948586	223.607
0	0	0	0	10176	0	0	97	0	97	1	0.938995	0
0	0	0	0	10172	0	0	97	0	97	1	0.941018	0
0	0	0	0	10184	0	0	97	0	97	0	0.938203	0
0	0	0	0	10169	0	0	97	0	97	0	0.936514	0
0	0	0	0	10179	0	0	97	0	97	0	0.947217	0
0	0	0	0	10181	0	0	97	0	97	0	0.931275	0
0	0	0	0	10166	0	0	97	0	97	0	0.943909	0
0	0	0	0	10180	0	0	97	0	97	1	0.94103	0
0	0	0	0	10185	0	0	97	0	97	1	0.944998	0
0	0	0	0	10178	0	0	97	0	97	0	0.941649	0
0	0	0	0	10171	0	0	97	0	97	0	0.940861	0
0	0	0	0	10182	0	0	97	0	97	1	0.943577	0
0	0	0	0	10175	0	0	97	0	97	1	0.940801	0
0	0	0	0	10190	0	0	97	0	97	0	0.936454	0
0	0	0	0	10183	0	0	97	0	97	0	0.943041	0
0	0	0	0	10165	0	0	97	0	97	0	0.945424	0
0	0	0	0	10167	0	0	97	0	97	0	0.935333	0
0	0	0	0	10168	0	0	97	0	97	0	0.933687	0
0	0	0	0	10188	0	0	97	0	97	1	0.938522	0
0	0	0	0	10164	0	0	97	0	97	0	0.943379	0
0	0	0	0	10173	0	0	97	0	97	0	0.936183	0
0	0	0	0	10189	0	0	97	0	97	1	0.938573	0
0	0	0	0	12003	4	2	95	0	97	0	0.941303	282.843
0	0	0	0	13665	4	1	97	0	97	0	0.9424	100
0	0	0	0	13673	5	1	97	0	97	1	0.946533	100
0	0	0	0	13682	5	1	97	0	97	1	0.946386	100
0	0	0	0	10202	0	2	132	2	132	0	0.946138	0
0	0	0	0	10199	0	2	132	2	132	1	0.934902	0
